P_START_LETTER,P_END_LETTER,TABLE_NAME,COLUMN_NAME,OBJECT_TYPE,DATA_TYPE,DATA_LENGTH,CHAR_LENGTH
L,O,LOY_ACRL_ITM_VOLUME_INT,PROMO_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_VOLUME_INT,PRTNR_PT_DEBT_QTY,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_VOLUME_INT,PT_SUB_TYPE_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_VOLUME_INT,PTSUBTYPE_NAME,VIEW,VARCHAR2,200,50
L,O,LOY_ACRL_ITM_VOLUME_INT,QUALIFYING_FLAG,VIEW,VARCHAR2,4,1
L,O,LOY_ACRL_ITM_VOLUME_INT,REPAID_FLAG,VIEW,VARCHAR2,4,1
L,O,LOY_ACRL_ITM_VOLUME_INT,RET_EFF_DT,VIEW,TIMESTAMP(6),11,0
L,O,LOY_ACRL_ITM_VOLUME_INT,STATUS_CODE,VIEW,VARCHAR2,120,30
L,O,LOY_ACRL_ITM_VOLUME_INT,TXN_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_VOLUME_INT,TXN_NUM,VIEW,VARCHAR2,120,30
L,O,LOY_ACRL_ITM_VOLUME_INT,TYPE_CODE,VIEW,VARCHAR2,120,30
L,O,LOY_ACRL_ITM_VOLUME_INT,USED_VALUE,VIEW,NUMBER,22,0
L,O,LOY_ACRL_RULE,LOY_ACRL_RULE_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_RULE,CREATED_BY,VIEW,VARCHAR2,256,64
L,O,LOY_ACRL_RULE,LAST_UPDATED_BY,VIEW,VARCHAR2,256,64
L,O,LOY_ACRL_RULE,LAST_UPDATE_LOGIN,VIEW,VARCHAR2,128,32
L,O,LOY_ACRL_RULE,CREATION_DATE,VIEW,TIMESTAMP(6),11,0
L,O,LOY_ACRL_RULE,LAST_UPDATE_DATE,VIEW,TIMESTAMP(6),11,0
L,O,LOY_ACRL_RULE,CONFLICT_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_RULE,DESC_TXT,VIEW,VARCHAR2,1000,250
L,O,LOY_ACRL_RULE,PROGRAM_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_RULE,NAME,VIEW,VARCHAR2,300,75
L,O,LOY_ACRL_RULE,OBJECT_VERSION_NUMBER,VIEW,NUMBER,22,0
L,O,LOY_ACRL_RULE_INT,LOY_ACRL_RULE_INT_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_RULE_INT,PROGRAM_NAME,VIEW,VARCHAR2,200,50
L,O,LOY_ACRL_RULE_INT,BATCH_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_RULE_INT,IMPORT_STATUS_CODE,VIEW,VARCHAR2,120,30
L,O,LOY_ACRL_RULE_INT,INTERFACE_ROW_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_RULE_INT,ACTION_CODE,VIEW,VARCHAR2,120,30
L,O,LOY_ACRL_RULE_INT,INTERNAL_ACTION_CODE,VIEW,VARCHAR2,120,30
L,O,LOY_ACRL_RULE_INT,INTERNAL_ACRL_RULE_OVN,VIEW,NUMBER,22,0
L,O,LOY_ACRL_RULE_INT,REQUEST_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_RULE_INT,CREATED_BY,VIEW,VARCHAR2,256,64
L,O,LOY_ACRL_RULE_INT,LAST_UPDATED_BY,VIEW,VARCHAR2,256,64
L,O,LOY_ACRL_RULE_INT,LAST_UPDATE_LOGIN,VIEW,VARCHAR2,128,32
L,O,LOY_ACRL_RULE_INT,CREATION_DATE,VIEW,TIMESTAMP(6),11,0
L,O,LOY_ACRL_RULE_INT,LAST_UPDATE_DATE,VIEW,TIMESTAMP(6),11,0
L,O,LOY_ACRL_RULE_INT,OBJECT_VERSION_NUMBER,VIEW,NUMBER,22,0
